filepath,layer,language,frequency
0shot_arabic_english_predictions_with_adapter.csv,2,ara,1.8129000000000042
0shot_arabic_english_predictions_with_adapter.csv,2,eng,0.013
0shot_arabic_english_predictions_with_adapter.csv,3,eng,0.8365999999999997
0shot_arabic_english_predictions_with_adapter.csv,4,eng,27.78300000000006
0shot_arabic_english_predictions_with_adapter.csv,4,ara,0.0201
0shot_arabic_english_predictions_with_adapter.csv,8,eng,28.191999999999968
0shot_arabic_english_predictions_with_adapter.csv,9,eng,7.714699999999998
0shot_arabic_english_predictions_with_adapter.csv,11,eng,41.20349999999995
0shot_arabic_english_predictions_with_adapter.csv,11,ara,0.0643
0shot_arabic_english_predictions_with_adapter.csv,12,eng,178.9949999999999
0shot_arabic_english_predictions_with_adapter.csv,12,ara,0.32859999999999995
0shot_arabic_english_predictions_with_adapter.csv,13,eng,285.8549000000002
0shot_arabic_english_predictions_with_adapter.csv,13,ara,0.32549999999999996
0shot_arabic_english_predictions_with_adapter.csv,14,eng,309.0451
0shot_arabic_english_predictions_with_adapter.csv,14,ara,2.5521999999999996
0shot_arabic_english_predictions_with_adapter.csv,15,eng,415.16869999999983
0shot_arabic_english_predictions_with_adapter.csv,15,ara,28.081899999999997
0shot_arabic_english_predictions_with_adapter.csv,16,eng,358.6643999999995
0shot_arabic_english_predictions_with_adapter.csv,16,ara,44.27570000000002
0shot_arabic_english_predictions_with_adapter.csv,5,eng,2.5232000000000006
0shot_arabic_english_predictions_with_adapter.csv,6,eng,0.6960999999999998
0shot_arabic_english_predictions_with_adapter.csv,10,eng,5.0291999999999994
0shot_arabic_english_predictions_with_adapter.csv,10,ara,0.0152
0shot_arabic_english_predictions_with_adapter.csv,1,ara,0.0
0shot_arabic_english_predictions_with_adapter.csv,1,eng,0.0
0shot_arabic_english_predictions_with_adapter.csv,7,eng,0.2897000000000002
10shot_arabic_english_predictions_with_adapter.csv,2,ara,2.3227000000000033
10shot_arabic_english_predictions_with_adapter.csv,2,eng,0.049
10shot_arabic_english_predictions_with_adapter.csv,3,eng,16.152200000000033
10shot_arabic_english_predictions_with_adapter.csv,4,eng,27.52569999999995
10shot_arabic_english_predictions_with_adapter.csv,4,ara,2.1043000000000034
10shot_arabic_english_predictions_with_adapter.csv,5,eng,10.876700000000005
10shot_arabic_english_predictions_with_adapter.csv,7,eng,2.5918
10shot_arabic_english_predictions_with_adapter.csv,8,eng,52.91319999999993
10shot_arabic_english_predictions_with_adapter.csv,9,eng,17.464199999999995
10shot_arabic_english_predictions_with_adapter.csv,10,eng,2.149200000000001
10shot_arabic_english_predictions_with_adapter.csv,10,ara,0.0105
10shot_arabic_english_predictions_with_adapter.csv,11,eng,7.700699999999984
10shot_arabic_english_predictions_with_adapter.csv,11,ara,0.0116
10shot_arabic_english_predictions_with_adapter.csv,12,eng,49.0260000000001
10shot_arabic_english_predictions_with_adapter.csv,12,ara,0.14930000000000002
10shot_arabic_english_predictions_with_adapter.csv,13,eng,111.61669999999975
10shot_arabic_english_predictions_with_adapter.csv,13,ara,0.18669999999999998
10shot_arabic_english_predictions_with_adapter.csv,14,eng,203.89539999999957
10shot_arabic_english_predictions_with_adapter.csv,14,ara,0.21099999999999997
10shot_arabic_english_predictions_with_adapter.csv,15,eng,395.99620000000044
10shot_arabic_english_predictions_with_adapter.csv,15,ara,20.670099999999998
10shot_arabic_english_predictions_with_adapter.csv,16,eng,315.3454000000008
10shot_arabic_english_predictions_with_adapter.csv,16,ara,16.755600000000005
10shot_arabic_english_predictions_with_adapter.csv,6,eng,3.7497999999999996
10shot_arabic_english_predictions_with_adapter.csv,1,ara,0.0
5shot_arabic_english_predictions_with_adapter.csv,2,ara,1.8152000000000035
5shot_arabic_english_predictions_with_adapter.csv,2,eng,0.0246
5shot_arabic_english_predictions_with_adapter.csv,3,eng,12.558799999999994
5shot_arabic_english_predictions_with_adapter.csv,4,eng,30.881399999999967
5shot_arabic_english_predictions_with_adapter.csv,4,ara,2.1819000000000024
5shot_arabic_english_predictions_with_adapter.csv,5,eng,13.064400000000004
5shot_arabic_english_predictions_with_adapter.csv,6,eng,3.580299999999998
5shot_arabic_english_predictions_with_adapter.csv,7,eng,3.448499999999999
5shot_arabic_english_predictions_with_adapter.csv,8,eng,59.1942
5shot_arabic_english_predictions_with_adapter.csv,9,eng,18.21459999999999
5shot_arabic_english_predictions_with_adapter.csv,10,eng,1.9589000000000025
5shot_arabic_english_predictions_with_adapter.csv,10,ara,0.0098
5shot_arabic_english_predictions_with_adapter.csv,11,eng,8.190500000000002
