filepath,layer,language,frequency
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,1,ces,0.15510000000000002
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,2,eng,2.505699999999997
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,2,ces,0.009399999999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,4,ces,7.387099999999996
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,4,eng,0.018199999999999997
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,5,ces,0.42680000000000035
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,5,eng,0.9993999999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,7,eng,11.407099999999994
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,7,ces,3.4241000000000037
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,8,ces,7.665499999999995
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,8,eng,2.0076
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,9,eng,10.532300000000006
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,9,ces,10.107500000000007
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,11,eng,0.9696
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,11,ces,13.568600000000007
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,15,ces,2.0710999999999995
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,15,eng,0.12899999999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,16,ces,4.363200000000003
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,16,eng,2.0086
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,17,eng,7.6298999999999975
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,17,ces,2.5384000000000007
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,18,eng,67.57160000000005
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,18,ces,2.635100000000002
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,19,eng,111.57960000000004
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,19,ces,2.8263
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,20,eng,183.40910000000034
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,20,ces,2.956299999999997
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,21,eng,370.35710000000114
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,21,ces,2.849899999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,22,eng,491.5757000000004
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,22,ces,5.5195000000000025
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,23,eng,598.238699999997
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,23,ces,6.655399999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,24,eng,674.0316000000003
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,24,ces,8.9528
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,25,eng,689.5557999999977
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,25,ces,19.756700000000006
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,26,eng,674.9170999999985
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,26,ces,23.5972
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,27,eng,652.5508999999976
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,27,ces,21.82179999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,28,eng,631.5342000000014
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,28,ces,25.863699999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,29,eng,628.7693000000005
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,29,ces,32.98019999999997
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,30,eng,593.7782999999981
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,30,ces,42.79259999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,31,eng,694.9521000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,31,ces,57.29100000000005
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,32,eng,739.2472999999989
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,32,ces,42.83939999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,6,eng,0.7408
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,6,ces,0.07100000000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,10,ces,6.786899999999995
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,10,eng,0.09340000000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,12,ces,1.198700000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,12,eng,0.04479999999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,13,ces,0.09019999999999999
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,13,eng,0.20120000000000002
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,14,eng,0.6369
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,14,ces,0.22569999999999996
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_english_predictions.csv,3,eng,0.0271
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,5,eng,1.2456999999999994
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,5,ces,0.0101
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,13,eng,1.3552000000000006
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,13,deu,0.42249999999999993
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,13,ces,0.1008
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,15,deu,1.0122000000000002
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,15,ces,0.5663
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,15,eng,0.3692000000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,16,deu,1.6544000000000003
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,16,eng,1.1334
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,16,ces,2.1228999999999987
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,17,eng,5.740799999999995
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,17,ces,4.4502000000000015
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,17,deu,1.4472999999999998
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,18,eng,56.7406000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,18,ces,5.8717999999999995
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,18,deu,5.514600000000004
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,19,eng,79.1531
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,19,ces,8.834900000000001
/content/drive/MyDrive/Raw Llama8b English Instructions/10shot_czech_german_predictions.csv,19,deu,5.5181000000000004
