filepath,layer,language,frequency
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,1,ces,1000.0
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,1,ara,0.0
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,2,ces,657.1879999999998
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,2,ara,14.319299999999997
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,3,ces,11.70750000000002
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,3,eng,9.984599999999984
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,4,ces,1.0866000000000005
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,4,eng,1.8951000000000007
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,4,ara,0.0044
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,5,eng,42.84170000000006
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,5,ara,0.26539999999999986
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,5,ces,0.0167
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,6,eng,5.70969999999999
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,6,ces,0.0362
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,7,eng,3.781800000000002
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,7,ces,4.9791
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,7,ara,0.0093
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,8,ces,10.951799999999986
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,8,eng,1.2512
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,8,ara,0.0596
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,10,eng,2.2736000000000023
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,10,ces,0.20099999999999998
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,10,ara,0.0039
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,12,eng,48.81040000000001
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,12,ara,1.2181000000000008
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,12,ces,1.1625000000000005
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,13,eng,75.65979999999993
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,13,ara,5.728199999999999
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,13,ces,2.8515
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,14,eng,35.85379999999997
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,14,ara,51.58540000000007
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,14,ces,0.8083000000000001
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,15,ara,190.7585000000003
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,15,eng,11.795799999999998
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,15,ces,0.2082
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,16,ara,163.3699000000002
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,16,eng,0.41689999999999994
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,16,ces,0.107
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,9,eng,4.736899999999998
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,9,ces,0.4618
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,11,eng,0.5552000000000001
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,11,ces,0.5512000000000001
/content/recent_csvs_new/1shot_czech_arabic_predictions_adapter.csv,11,ara,0.2993999999999999
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,1,ces,1000.0
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,1,ara,0.0
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,2,ces,656.8972999999996
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,2,ara,15.897400000000005
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,3,eng,7.177799999999969
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,3,ces,0.5609999999999998
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,4,eng,4.4799999999999915
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,4,ces,0.46640000000000004
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,5,eng,42.887500000000074
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,5,ces,0.7377000000000002
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,5,ara,0.0455
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,8,eng,4.054299999999999
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,8,ces,2.8404
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,9,eng,29.97779999999993
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,9,ces,0.7802999999999999
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,9,ara,0.0022
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,10,eng,4.922200000000001
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,10,ces,0.944
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,10,ara,0.0092
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,12,eng,266.3213000000006
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,12,ces,4.406300000000002
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,12,ara,1.1612999999999998
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,13,eng,292.44550000000004
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,13,ces,6.803600000000004
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,13,ara,5.089700000000001
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,14,ara,66.08399999999992
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,14,eng,181.49750000000023
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,14,ces,5.1602999999999986
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,15,ara,215.27109999999996
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,15,eng,69.16019999999993
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,15,ces,3.9187
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,16,ara,271.6525999999998
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,16,ces,0.2158
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,16,eng,0.7986000000000002
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,11,eng,29.15319999999998
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,11,ces,0.8966
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,11,ara,0.5857
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,6,eng,0.7987999999999996
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,6,ces,0.5198999999999997
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,7,ces,0.5666000000000001
/content/recent_csvs_new/10shot_czech_arabic_predictions_adapter.csv,7,eng,2.1152000000000015
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,1,ces,1000.0
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,2,ces,780.196599999999
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,2,eng,1.292599999999997
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,3,eng,8.005499999999968
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,3,ces,1.1611000000000002
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,4,eng,8.039499999999997
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,4,ces,1.471599999999999
/content/recent_csvs_new/5shot_czech_english_predictions_adapter.csv,5,ces,15.832500000000005
