filepath,layer,language,frequency
5shot_german_english_predictions_adapter.csv,3,deu,5.4460999999999675
5shot_german_english_predictions_adapter.csv,3,eng,0.3300000000000001
5shot_german_english_predictions_adapter.csv,4,deu,15.762200000000021
5shot_german_english_predictions_adapter.csv,4,eng,0.041499999999999995
5shot_german_english_predictions_adapter.csv,5,deu,16.94939999999988
5shot_german_english_predictions_adapter.csv,5,eng,2.1042000000000063
5shot_german_english_predictions_adapter.csv,6,deu,6.725300000000017
5shot_german_english_predictions_adapter.csv,6,eng,1.039700000000001
5shot_german_english_predictions_adapter.csv,7,deu,8.427399999999992
5shot_german_english_predictions_adapter.csv,7,eng,4.030999999999996
5shot_german_english_predictions_adapter.csv,8,deu,13.548699999999988
5shot_german_english_predictions_adapter.csv,8,eng,0.9715000000000014
5shot_german_english_predictions_adapter.csv,9,eng,2.7602999999999906
5shot_german_english_predictions_adapter.csv,9,deu,4.5014999999999885
5shot_german_english_predictions_adapter.csv,13,deu,2.113900000000012
5shot_german_english_predictions_adapter.csv,13,eng,1.0498999999999983
5shot_german_english_predictions_adapter.csv,15,eng,11.416299999999984
5shot_german_english_predictions_adapter.csv,15,deu,1.042099999999999
5shot_german_english_predictions_adapter.csv,16,eng,73.37160000000011
5shot_german_english_predictions_adapter.csv,16,deu,1.2414000000000012
5shot_german_english_predictions_adapter.csv,17,eng,145.7770999999999
5shot_german_english_predictions_adapter.csv,17,deu,1.651399999999999
5shot_german_english_predictions_adapter.csv,18,eng,200.4342000000006
5shot_german_english_predictions_adapter.csv,18,deu,2.4430000000000005
5shot_german_english_predictions_adapter.csv,19,eng,409.8296000000005
5shot_german_english_predictions_adapter.csv,19,deu,12.15289999999999
5shot_german_english_predictions_adapter.csv,20,eng,503.2102000000007
5shot_german_english_predictions_adapter.csv,20,deu,13.376299999999999
5shot_german_english_predictions_adapter.csv,21,eng,594.9103999999999
5shot_german_english_predictions_adapter.csv,21,deu,21.603899999999985
5shot_german_english_predictions_adapter.csv,22,eng,622.3903999999962
5shot_german_english_predictions_adapter.csv,22,deu,38.92280000000005
5shot_german_english_predictions_adapter.csv,23,eng,624.0014999999999
5shot_german_english_predictions_adapter.csv,23,deu,44.40770000000004
5shot_german_english_predictions_adapter.csv,24,eng,630.6674
5shot_german_english_predictions_adapter.csv,24,deu,38.4175
5shot_german_english_predictions_adapter.csv,25,eng,656.5325999999975
5shot_german_english_predictions_adapter.csv,25,deu,45.99479999999999
5shot_german_english_predictions_adapter.csv,26,eng,703.5438999999982
5shot_german_english_predictions_adapter.csv,26,deu,50.72940000000003
5shot_german_english_predictions_adapter.csv,27,eng,763.4646000000018
5shot_german_english_predictions_adapter.csv,27,deu,44.765700000000045
5shot_german_english_predictions_adapter.csv,28,eng,727.4512999999972
5shot_german_english_predictions_adapter.csv,28,deu,58.283199999999965
5shot_german_english_predictions_adapter.csv,10,eng,2.8950999999999927
5shot_german_english_predictions_adapter.csv,10,deu,1.4662000000000044
5shot_german_english_predictions_adapter.csv,11,deu,0.3563000000000003
5shot_german_english_predictions_adapter.csv,11,eng,0.7426999999999979
5shot_german_english_predictions_adapter.csv,12,deu,0.795099999999998
5shot_german_english_predictions_adapter.csv,12,eng,0.8064999999999989
