filepath,layer,language,frequency
0shot_german_arabic_predictions.csv,3,deu,6.30159999999999
0shot_german_arabic_predictions.csv,3,eng,0.27770000000000017
0shot_german_arabic_predictions.csv,4,deu,8.05010000000002
0shot_german_arabic_predictions.csv,4,eng,1.9814999999999972
0shot_german_arabic_predictions.csv,5,deu,18.32039999999998
0shot_german_arabic_predictions.csv,5,eng,0.020800000000000003
0shot_german_arabic_predictions.csv,5,ara,0.0293
0shot_german_arabic_predictions.csv,6,deu,10.87139999999998
0shot_german_arabic_predictions.csv,6,eng,0.6421999999999993
0shot_german_arabic_predictions.csv,6,ara,0.0012
0shot_german_arabic_predictions.csv,7,eng,5.149199999999991
0shot_german_arabic_predictions.csv,7,deu,3.1609999999999845
0shot_german_arabic_predictions.csv,8,deu,14.857999999999988
0shot_german_arabic_predictions.csv,8,eng,3.1704999999999934
0shot_german_arabic_predictions.csv,10,eng,3.2347999999999892
0shot_german_arabic_predictions.csv,10,deu,3.7478999999999814
0shot_german_arabic_predictions.csv,11,deu,2.383000000000004
0shot_german_arabic_predictions.csv,11,eng,2.2741999999999973
0shot_german_arabic_predictions.csv,12,deu,1.1275999999999988
0shot_german_arabic_predictions.csv,12,eng,0.6560999999999994
0shot_german_arabic_predictions.csv,13,eng,4.673799999999994
0shot_german_arabic_predictions.csv,13,deu,1.561000000000009
0shot_german_arabic_predictions.csv,14,eng,1.2383000000000024
0shot_german_arabic_predictions.csv,14,deu,0.9419999999999965
0shot_german_arabic_predictions.csv,15,eng,22.836899999999908
0shot_german_arabic_predictions.csv,15,deu,0.2684000000000002
0shot_german_arabic_predictions.csv,15,ara,0.0574
0shot_german_arabic_predictions.csv,16,eng,6.691899999999998
0shot_german_arabic_predictions.csv,16,deu,2.180500000000003
0shot_german_arabic_predictions.csv,16,ara,0.020800000000000003
0shot_german_arabic_predictions.csv,17,eng,8.6067
0shot_german_arabic_predictions.csv,17,deu,0.9277999999999994
0shot_german_arabic_predictions.csv,17,ara,0.06430000000000001
0shot_german_arabic_predictions.csv,18,eng,40.21489999999991
0shot_german_arabic_predictions.csv,18,deu,1.189900000000001
0shot_german_arabic_predictions.csv,18,ara,0.4733000000000001
0shot_german_arabic_predictions.csv,19,eng,191.02870000000038
0shot_german_arabic_predictions.csv,19,deu,6.089200000000005
0shot_german_arabic_predictions.csv,19,ara,2.625299999999998
0shot_german_arabic_predictions.csv,20,eng,290.8633000000008
0shot_german_arabic_predictions.csv,20,deu,7.0005999999999995
0shot_german_arabic_predictions.csv,20,ara,4.2578
0shot_german_arabic_predictions.csv,21,eng,429.89629999999914
0shot_german_arabic_predictions.csv,21,deu,15.552699999999998
0shot_german_arabic_predictions.csv,21,ara,4.817899999999995
0shot_german_arabic_predictions.csv,22,eng,434.1504000000006
0shot_german_arabic_predictions.csv,22,deu,21.659299999999995
0shot_german_arabic_predictions.csv,22,ara,4.3117
0shot_german_arabic_predictions.csv,23,eng,438.52569999999923
0shot_german_arabic_predictions.csv,23,deu,29.83330000000001
0shot_german_arabic_predictions.csv,23,ara,3.2652
0shot_german_arabic_predictions.csv,24,eng,454.48559999999947
0shot_german_arabic_predictions.csv,24,deu,29.19569999999998
0shot_german_arabic_predictions.csv,24,ara,7.641299999999997
0shot_german_arabic_predictions.csv,25,eng,388.4896000000009
0shot_german_arabic_predictions.csv,25,ara,29.301899999999993
0shot_german_arabic_predictions.csv,25,deu,37.56089999999999
0shot_german_arabic_predictions.csv,26,ara,46.40319999999999
0shot_german_arabic_predictions.csv,26,eng,333.76329999999916
0shot_german_arabic_predictions.csv,26,deu,50.80750000000004
0shot_german_arabic_predictions.csv,27,ara,93.05470000000011
0shot_german_arabic_predictions.csv,27,eng,201.96130000000025
0shot_german_arabic_predictions.csv,27,deu,48.91650000000002
0shot_german_arabic_predictions.csv,28,ara,118.94550000000031
0shot_german_arabic_predictions.csv,28,eng,37.64820000000005
0shot_german_arabic_predictions.csv,28,deu,13.97050000000001
0shot_german_arabic_predictions.csv,1,ara,0.0
0shot_german_arabic_predictions.csv,1,eng,0.0
0shot_german_arabic_predictions.csv,2,deu,0.2252000000000003
0shot_german_arabic_predictions.csv,2,eng,0.12509999999999993
0shot_german_arabic_predictions.csv,2,ara,0.04420000000000003
0shot_german_arabic_predictions.csv,9,eng,2.424199999999998
0shot_german_arabic_predictions.csv,9,deu,1.2460000000000007
10shot_german_arabic_predictions.csv,3,deu,5.271699999999973
10shot_german_arabic_predictions.csv,3,eng,0.2958999999999998
10shot_german_arabic_predictions.csv,3,ara,0.0076999999999999985
10shot_german_arabic_predictions.csv,4,deu,5.748399999999962
10shot_german_arabic_predictions.csv,4,eng,0.6733999999999996
10shot_german_arabic_predictions.csv,5,deu,3.3587999999999867
10shot_german_arabic_predictions.csv,5,ara,0.06490000000000001
10shot_german_arabic_predictions.csv,5,eng,0.025099999999999994
10shot_german_arabic_predictions.csv,6,deu,18.71689999999993
10shot_german_arabic_predictions.csv,6,eng,1.5458999999999958
10shot_german_arabic_predictions.csv,7,eng,2.8613000000000004
10shot_german_arabic_predictions.csv,7,deu,2.7855999999999974
10shot_german_arabic_predictions.csv,10,deu,1.6662999999999992
10shot_german_arabic_predictions.csv,10,eng,1.8967000000000023
10shot_german_arabic_predictions.csv,10,ara,0.09499999999999999
10shot_german_arabic_predictions.csv,11,eng,1.6150000000000038
10shot_german_arabic_predictions.csv,11,deu,2.4185999999999965
10shot_german_arabic_predictions.csv,11,ara,0.0052
10shot_german_arabic_predictions.csv,12,eng,0.7280999999999975
10shot_german_arabic_predictions.csv,12,ara,1.6558000000000055
10shot_german_arabic_predictions.csv,12,deu,2.0029000000000075
10shot_german_arabic_predictions.csv,14,eng,2.169300000000008
10shot_german_arabic_predictions.csv,14,deu,3.0387999999999917
10shot_german_arabic_predictions.csv,14,ara,0.1051
10shot_german_arabic_predictions.csv,15,eng,10.82019999999994
10shot_german_arabic_predictions.csv,15,deu,1.6912000000000043
10shot_german_arabic_predictions.csv,15,ara,0.0873
10shot_german_arabic_predictions.csv,16,ara,1.6646000000000003
