Token,Most Frequent Language
ÙģÙĬ,ara
ĠÙĬÙĪÙħ,ara
ĠØ§ÙĦ,ara
Ø§Ø«,ara
ÙĨÙĬÙĨ,ara
ØĮ,ara
ĠØ£,ara
Ø¹ÙĦ,ara
ÙĨ,ara
ĠØ¹ÙĦÙħ,ara
Ø§Ø¡,ara
ĠÙħÙĨ,ara
ĠÙĥÙĦ,ara
ÙĬØ©,ara
ĠØ§ÙĦØ·Ø¨,ara
ĠØ¨,ara
Ø¬Ø§Ùħ,ara
Ø¹Ø©,ara
ĠØ³Øª,ara
Ø§ÙĨ,ara
Ùģ,ara
ÙĪØ±Ø¯,ara
ĠØ¹ÙĨ,ara
ĠØ§Ø®,ara
ØªØ±,ara
Ø§Ø¹,ara
ĠØ£Ø¯,ara
Ø§Ø©,ara
ĠØªØ´,ara
Ø®ÙĬ,ara
Øµ,ara
ĠØ¬Ø¯ÙĬØ¯Ø©,ara
ĠÙĬÙħÙĥÙĨ,ara
ÙĩØ§,ara
ĠØªØµ,ara
ÙĬÙģ,ara
ĠØ§ÙĦØ®,ara
ÙĦØ§,ara
ÙĬØ§,ara
ĠØŃØ³Ø¨,ara
ĠØ§ÙĦÙĨ,ara
ÙĪØ¹,ara
:,ces
ĠØ´,ara
Ø±ÙĬ,ara
ØŃØ©,ara
ĠØµ,ara
ØºÙĬØ±Ø©,ara
ĠÙĤØ§Ø¨,ara
ÙĦØ©,ara
ĠÙĦÙĦ,ara
Ø·Ø¨,ara
Ø§Ø¹Ø©,ara
ÙĨÙĬ,ara
Ø¹,ara
ĠØ¨Ø§Ø³Øª,ara
Ø®Ø¯Ø§Ùħ,ara
ĠØ·,ara
Ø§Ø¨Ø¹,ara
Ø§Øª,ara
ĠÙĨÙģ,ara
Ø©,ara
ĠÙĦÙĦØŃ,ara
Ø¨Ø±,ara
ĠÙĤÙĬ,ara
Ø§Ø³ÙĬØ©,ara
ĠÙħÙĤØ§Ø¨ÙĦ,ara
ĠØŃÙĪ,ara
Ø§ÙĦÙĬ,ara
ĠØ³ÙĨØª,ara
