filepath,layer,language,frequency
5shot_english_german_predictions_german_instructions_llama3b.csv,2,deu,1.7558000000000216
5shot_english_german_predictions_german_instructions_llama3b.csv,2,eng,0.4226000000000005
5shot_english_german_predictions_german_instructions_llama3b.csv,3,deu,3.583199999999993
5shot_english_german_predictions_german_instructions_llama3b.csv,3,eng,0.5538000000000004
5shot_english_german_predictions_german_instructions_llama3b.csv,4,deu,9.97889999999998
5shot_english_german_predictions_german_instructions_llama3b.csv,4,eng,0.2436000000000001
5shot_english_german_predictions_german_instructions_llama3b.csv,5,deu,7.272800000000001
5shot_english_german_predictions_german_instructions_llama3b.csv,5,eng,0.1763
5shot_english_german_predictions_german_instructions_llama3b.csv,6,deu,12.525799999999977
5shot_english_german_predictions_german_instructions_llama3b.csv,6,eng,0.5730000000000002
5shot_english_german_predictions_german_instructions_llama3b.csv,7,deu,3.4378999999999924
5shot_english_german_predictions_german_instructions_llama3b.csv,7,eng,1.906500000000006
5shot_english_german_predictions_german_instructions_llama3b.csv,9,deu,3.718099999999989
5shot_english_german_predictions_german_instructions_llama3b.csv,9,eng,0.10179999999999997
5shot_english_german_predictions_german_instructions_llama3b.csv,10,eng,6.423999999999994
5shot_english_german_predictions_german_instructions_llama3b.csv,10,deu,1.0473
5shot_english_german_predictions_german_instructions_llama3b.csv,11,deu,2.4510999999999963
5shot_english_german_predictions_german_instructions_llama3b.csv,11,eng,2.6501999999999946
5shot_english_german_predictions_german_instructions_llama3b.csv,12,deu,3.204999999999997
5shot_english_german_predictions_german_instructions_llama3b.csv,12,eng,0.29300000000000037
5shot_english_german_predictions_german_instructions_llama3b.csv,13,deu,2.0708000000000157
5shot_english_german_predictions_german_instructions_llama3b.csv,13,eng,1.1567000000000005
5shot_english_german_predictions_german_instructions_llama3b.csv,14,deu,5.279099999999997
5shot_english_german_predictions_german_instructions_llama3b.csv,14,eng,1.1159999999999999
5shot_english_german_predictions_german_instructions_llama3b.csv,15,eng,13.836299999999971
5shot_english_german_predictions_german_instructions_llama3b.csv,15,deu,4.689699999999989
5shot_english_german_predictions_german_instructions_llama3b.csv,16,eng,96.72979999999988
5shot_english_german_predictions_german_instructions_llama3b.csv,16,deu,7.696600000000001
5shot_english_german_predictions_german_instructions_llama3b.csv,17,eng,146.9364000000002
5shot_english_german_predictions_german_instructions_llama3b.csv,17,deu,14.578899999999999
5shot_english_german_predictions_german_instructions_llama3b.csv,18,deu,16.40399999999997
5shot_english_german_predictions_german_instructions_llama3b.csv,18,eng,182.4627999999999
5shot_english_german_predictions_german_instructions_llama3b.csv,19,eng,410.16069999999957
5shot_english_german_predictions_german_instructions_llama3b.csv,19,deu,34.731900000000046
5shot_english_german_predictions_german_instructions_llama3b.csv,20,deu,37.057700000000004
5shot_english_german_predictions_german_instructions_llama3b.csv,20,eng,496.6959999999999
5shot_english_german_predictions_german_instructions_llama3b.csv,21,eng,598.1742999999998
5shot_english_german_predictions_german_instructions_llama3b.csv,21,deu,46.322800000000036
5shot_english_german_predictions_german_instructions_llama3b.csv,22,eng,590.2091999999993
5shot_english_german_predictions_german_instructions_llama3b.csv,22,deu,113.3221000000001
5shot_english_german_predictions_german_instructions_llama3b.csv,23,eng,488.4639000000005
5shot_english_german_predictions_german_instructions_llama3b.csv,23,deu,239.25210000000064
5shot_english_german_predictions_german_instructions_llama3b.csv,24,deu,395.0319000000011
5shot_english_german_predictions_german_instructions_llama3b.csv,24,eng,366.4719
5shot_english_german_predictions_german_instructions_llama3b.csv,25,deu,485.63079999999957
5shot_english_german_predictions_german_instructions_llama3b.csv,25,eng,292.4019000000007
5shot_english_german_predictions_german_instructions_llama3b.csv,26,deu,578.3846000000015
5shot_english_german_predictions_german_instructions_llama3b.csv,26,eng,160.0036000000002
5shot_english_german_predictions_german_instructions_llama3b.csv,27,deu,711.486999999997
5shot_english_german_predictions_german_instructions_llama3b.csv,27,eng,82.42949999999998
5shot_english_german_predictions_german_instructions_llama3b.csv,28,deu,652.757799999998
5shot_english_german_predictions_german_instructions_llama3b.csv,28,eng,80.03150000000008
5shot_english_german_predictions_german_instructions_llama3b.csv,8,deu,2.314600000000008
5shot_english_german_predictions_german_instructions_llama3b.csv,8,eng,0.39050000000000007
5shot_german_english_predictions_german_instructions_llama3b.csv,3,deu,6.053599999999972
5shot_german_english_predictions_german_instructions_llama3b.csv,3,eng,0.20829999999999996
5shot_german_english_predictions_german_instructions_llama3b.csv,4,deu,14.85470000000002
5shot_german_english_predictions_german_instructions_llama3b.csv,4,eng,0.072
5shot_german_english_predictions_german_instructions_llama3b.csv,5,deu,15.617399999999906
5shot_german_english_predictions_german_instructions_llama3b.csv,5,eng,1.5824000000000091
5shot_german_english_predictions_german_instructions_llama3b.csv,6,deu,6.46960000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,6,eng,0.9020000000000011
5shot_german_english_predictions_german_instructions_llama3b.csv,7,deu,7.364800000000003
5shot_german_english_predictions_german_instructions_llama3b.csv,7,eng,4.367199999999995
5shot_german_english_predictions_german_instructions_llama3b.csv,8,deu,10.974099999999947
5shot_german_english_predictions_german_instructions_llama3b.csv,8,eng,0.9883000000000004
5shot_german_english_predictions_german_instructions_llama3b.csv,9,eng,3.58139999999999
5shot_german_english_predictions_german_instructions_llama3b.csv,9,deu,3.2755999999999896
5shot_german_english_predictions_german_instructions_llama3b.csv,10,deu,2.9933999999999954
5shot_german_english_predictions_german_instructions_llama3b.csv,10,eng,2.788399999999988
5shot_german_english_predictions_german_instructions_llama3b.csv,13,eng,1.2152000000000025
5shot_german_english_predictions_german_instructions_llama3b.csv,13,deu,2.530600000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,16,eng,77.3860000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,16,deu,1.3473999999999997
5shot_german_english_predictions_german_instructions_llama3b.csv,17,eng,148.41750000000005
5shot_german_english_predictions_german_instructions_llama3b.csv,17,deu,1.7513999999999994
5shot_german_english_predictions_german_instructions_llama3b.csv,18,eng,194.8067000000002
5shot_german_english_predictions_german_instructions_llama3b.csv,18,deu,2.296000000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,19,eng,401.35630000000003
5shot_german_english_predictions_german_instructions_llama3b.csv,19,deu,11.187800000000005
5shot_german_english_predictions_german_instructions_llama3b.csv,20,eng,491.8314999999997
5shot_german_english_predictions_german_instructions_llama3b.csv,20,deu,12.6828
5shot_german_english_predictions_german_instructions_llama3b.csv,21,eng,586.5378000000006
5shot_german_english_predictions_german_instructions_llama3b.csv,21,deu,21.1348
5shot_german_english_predictions_german_instructions_llama3b.csv,22,eng,617.5067999999999
5shot_german_english_predictions_german_instructions_llama3b.csv,22,deu,36.94630000000004
5shot_german_english_predictions_german_instructions_llama3b.csv,23,eng,621.5167999999998
5shot_german_english_predictions_german_instructions_llama3b.csv,23,deu,42.06200000000005
5shot_german_english_predictions_german_instructions_llama3b.csv,24,eng,628.1262999999966
5shot_german_english_predictions_german_instructions_llama3b.csv,24,deu,37.60080000000003
5shot_german_english_predictions_german_instructions_llama3b.csv,25,eng,649.2657999999972
5shot_german_english_predictions_german_instructions_llama3b.csv,25,deu,45.59389999999994
5shot_german_english_predictions_german_instructions_llama3b.csv,26,eng,694.8718999999963
5shot_german_english_predictions_german_instructions_llama3b.csv,26,deu,52.52440000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,27,eng,762.2438000000045
5shot_german_english_predictions_german_instructions_llama3b.csv,27,deu,44.96610000000008
5shot_german_english_predictions_german_instructions_llama3b.csv,28,eng,724.9470000000002
5shot_german_english_predictions_german_instructions_llama3b.csv,28,deu,58.72380000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,2,deu,0.1578
5shot_german_english_predictions_german_instructions_llama3b.csv,2,eng,0.0026
5shot_german_english_predictions_german_instructions_llama3b.csv,11,eng,0.9629999999999952
5shot_german_english_predictions_german_instructions_llama3b.csv,11,deu,0.3016000000000001
5shot_german_english_predictions_german_instructions_llama3b.csv,12,deu,0.6344999999999992
5shot_german_english_predictions_german_instructions_llama3b.csv,12,eng,1.0203999999999995
5shot_german_english_predictions_german_instructions_llama3b.csv,15,deu,1.0854999999999997
5shot_german_english_predictions_german_instructions_llama3b.csv,15,eng,12.229199999999995
5shot_german_english_predictions_german_instructions_llama3b.csv,14,eng,1.2613000000000012
5shot_german_english_predictions_german_instructions_llama3b.csv,14,deu,1.6203000000000065
10shot_czech_english_predictions_german_instructions_llama3b.csv,1,ces,1000.0
10shot_czech_english_predictions_german_instructions_llama3b.csv,2,ces,64.65410000000004
10shot_czech_english_predictions_german_instructions_llama3b.csv,3,eng,1.111400000000003
10shot_czech_english_predictions_german_instructions_llama3b.csv,3,ces,0.4296999999999999
10shot_czech_english_predictions_german_instructions_llama3b.csv,5,eng,2.608999999999992
10shot_czech_english_predictions_german_instructions_llama3b.csv,5,ces,0.16229999999999997
10shot_czech_english_predictions_german_instructions_llama3b.csv,7,eng,4.467400000000004
10shot_czech_english_predictions_german_instructions_llama3b.csv,7,ces,0.32650000000000023
10shot_czech_english_predictions_german_instructions_llama3b.csv,8,ces,1.9678999999999982
10shot_czech_english_predictions_german_instructions_llama3b.csv,8,eng,0.6512
10shot_czech_english_predictions_german_instructions_llama3b.csv,9,eng,1.4322000000000001
10shot_czech_english_predictions_german_instructions_llama3b.csv,9,ces,0.7808000000000006
10shot_czech_english_predictions_german_instructions_llama3b.csv,10,eng,3.3553999999999835
10shot_czech_english_predictions_german_instructions_llama3b.csv,10,ces,1.1612000000000002
10shot_czech_english_predictions_german_instructions_llama3b.csv,11,ces,5.878299999999997
10shot_czech_english_predictions_german_instructions_llama3b.csv,11,eng,1.0500999999999974
10shot_czech_english_predictions_german_instructions_llama3b.csv,14,ces,1.4258000000000028
10shot_czech_english_predictions_german_instructions_llama3b.csv,14,eng,1.1664999999999994
10shot_czech_english_predictions_german_instructions_llama3b.csv,15,eng,12.197200000000025
10shot_czech_english_predictions_german_instructions_llama3b.csv,15,ces,1.2578000000000016
10shot_czech_english_predictions_german_instructions_llama3b.csv,16,eng,83.78390000000007
10shot_czech_english_predictions_german_instructions_llama3b.csv,16,ces,1.9960000000000002
10shot_czech_english_predictions_german_instructions_llama3b.csv,17,eng,152.25189999999938
10shot_czech_english_predictions_german_instructions_llama3b.csv,17,ces,1.4141999999999992
10shot_czech_english_predictions_german_instructions_llama3b.csv,18,eng,213.8895999999996
10shot_czech_english_predictions_german_instructions_llama3b.csv,18,ces,1.1976999999999995
10shot_czech_english_predictions_german_instructions_llama3b.csv,19,eng,422.0979000000004
10shot_czech_english_predictions_german_instructions_llama3b.csv,19,ces,2.1363
10shot_czech_english_predictions_german_instructions_llama3b.csv,20,eng,533.3306999999988
10shot_czech_english_predictions_german_instructions_llama3b.csv,20,ces,3.8985999999999996
10shot_czech_english_predictions_german_instructions_llama3b.csv,21,eng,634.5290000000016
10shot_czech_english_predictions_german_instructions_llama3b.csv,21,ces,4.855099999999998
