filepath,layer,language,frequency
1shot_czech_arabic_predictions_adapter.csv,1,ces,1000.0
1shot_czech_arabic_predictions_adapter.csv,1,ara,0.0
1shot_czech_arabic_predictions_adapter.csv,2,ces,696.4000000000008
1shot_czech_arabic_predictions_adapter.csv,2,ara,14.198499999999973
1shot_czech_arabic_predictions_adapter.csv,3,eng,12.54489999999999
1shot_czech_arabic_predictions_adapter.csv,3,ces,9.47689999999998
1shot_czech_arabic_predictions_adapter.csv,4,eng,4.498999999999997
1shot_czech_arabic_predictions_adapter.csv,4,ces,1.5778000000000005
1shot_czech_arabic_predictions_adapter.csv,4,ara,0.03579999999999999
1shot_czech_arabic_predictions_adapter.csv,5,eng,36.137999999999955
1shot_czech_arabic_predictions_adapter.csv,5,ara,1.6851999999999983
1shot_czech_arabic_predictions_adapter.csv,5,ces,0.0054
1shot_czech_arabic_predictions_adapter.csv,6,eng,3.3568000000000007
1shot_czech_arabic_predictions_adapter.csv,6,ces,0.25300000000000006
1shot_czech_arabic_predictions_adapter.csv,7,ces,4.2084
1shot_czech_arabic_predictions_adapter.csv,7,eng,1.1090999999999993
1shot_czech_arabic_predictions_adapter.csv,7,ara,0.08600000000000001
1shot_czech_arabic_predictions_adapter.csv,8,ces,8.882399999999997
1shot_czech_arabic_predictions_adapter.csv,8,eng,2.0838999999999976
1shot_czech_arabic_predictions_adapter.csv,8,ara,0.0507
1shot_czech_arabic_predictions_adapter.csv,13,ara,4.756099999999993
1shot_czech_arabic_predictions_adapter.csv,13,ces,3.4741999999999984
1shot_czech_arabic_predictions_adapter.csv,13,eng,68.93100000000003
1shot_czech_arabic_predictions_adapter.csv,14,ara,44.26229999999992
1shot_czech_arabic_predictions_adapter.csv,14,eng,30.652500000000018
1shot_czech_arabic_predictions_adapter.csv,14,ces,1.026
1shot_czech_arabic_predictions_adapter.csv,15,ara,187.66440000000017
1shot_czech_arabic_predictions_adapter.csv,15,eng,8.498800000000003
1shot_czech_arabic_predictions_adapter.csv,15,ces,0.5206999999999999
1shot_czech_arabic_predictions_adapter.csv,16,ara,154.06420000000008
1shot_czech_arabic_predictions_adapter.csv,16,ces,0.19380000000000003
1shot_czech_arabic_predictions_adapter.csv,16,eng,0.3251
1shot_czech_arabic_predictions_adapter.csv,12,eng,43.35089999999997
1shot_czech_arabic_predictions_adapter.csv,12,ces,1.1261000000000005
1shot_czech_arabic_predictions_adapter.csv,12,ara,1.0680000000000003
1shot_czech_arabic_predictions_adapter.csv,9,eng,4.841899999999997
1shot_czech_arabic_predictions_adapter.csv,9,ces,0.44710000000000005
1shot_czech_arabic_predictions_adapter.csv,9,ara,0.0244
1shot_czech_arabic_predictions_adapter.csv,10,ces,0.17679999999999996
1shot_czech_arabic_predictions_adapter.csv,10,eng,1.3809999999999991
1shot_czech_arabic_predictions_adapter.csv,11,eng,0.5697000000000004
1shot_czech_arabic_predictions_adapter.csv,11,ces,0.5418000000000002
1shot_czech_arabic_predictions_adapter.csv,11,ara,0.2766999999999999
10shot_czech_arabic_predictions_adapter.csv,1,ces,1000.0
10shot_czech_arabic_predictions_adapter.csv,1,ara,0.0
10shot_czech_arabic_predictions_adapter.csv,2,ces,677.0900999999996
10shot_czech_arabic_predictions_adapter.csv,2,ara,14.952600000000006
10shot_czech_arabic_predictions_adapter.csv,3,eng,7.306399999999988
10shot_czech_arabic_predictions_adapter.csv,3,ces,0.5168
10shot_czech_arabic_predictions_adapter.csv,4,eng,4.9343999999999975
10shot_czech_arabic_predictions_adapter.csv,4,ces,0.5721000000000002
10shot_czech_arabic_predictions_adapter.csv,5,eng,35.12099999999991
10shot_czech_arabic_predictions_adapter.csv,5,ces,1.3466000000000005
