filepath,layer,language,frequency
0shot_czech_german_predictions.csv,1,ces,1000.0
0shot_czech_german_predictions.csv,1,eng,0.0
0shot_czech_german_predictions.csv,2,ces,725.1208000000003
0shot_czech_german_predictions.csv,2,deu,1.1921999999999982
0shot_czech_german_predictions.csv,2,eng,0.03919999999999999
0shot_czech_german_predictions.csv,3,ces,41.78469999999993
0shot_czech_german_predictions.csv,3,deu,3.9445999999999963
0shot_czech_german_predictions.csv,3,eng,0.21760000000000004
0shot_czech_german_predictions.csv,4,ces,8.3805
0shot_czech_german_predictions.csv,4,deu,12.263699999999949
0shot_czech_german_predictions.csv,4,eng,0.3544000000000003
0shot_czech_german_predictions.csv,5,deu,66.28620000000006
0shot_czech_german_predictions.csv,5,eng,0.15500000000000005
0shot_czech_german_predictions.csv,5,ces,0.20600000000000002
0shot_czech_german_predictions.csv,6,deu,7.611900000000008
0shot_czech_german_predictions.csv,6,eng,0.19810000000000005
0shot_czech_german_predictions.csv,6,ces,3.2982999999999882
0shot_czech_german_predictions.csv,7,eng,5.513399999999981
0shot_czech_german_predictions.csv,7,deu,5.451099999999977
0shot_czech_german_predictions.csv,7,ces,0.912700000000001
0shot_czech_german_predictions.csv,8,deu,13.279599999999961
0shot_czech_german_predictions.csv,8,eng,7.928499999999981
0shot_czech_german_predictions.csv,8,ces,0.34950000000000025
0shot_czech_german_predictions.csv,9,eng,2.5262000000000007
0shot_czech_german_predictions.csv,9,ces,2.6204999999999923
0shot_czech_german_predictions.csv,9,deu,2.619999999999997
0shot_czech_german_predictions.csv,10,eng,2.082000000000005
0shot_czech_german_predictions.csv,10,deu,3.3956999999999913
0shot_czech_german_predictions.csv,10,ces,0.47889999999999994
0shot_czech_german_predictions.csv,11,deu,3.1447999999999907
0shot_czech_german_predictions.csv,11,eng,1.3599000000000028
0shot_czech_german_predictions.csv,11,ces,0.4465000000000002
0shot_czech_german_predictions.csv,12,ces,0.9407999999999961
0shot_czech_german_predictions.csv,12,deu,1.6177000000000108
0shot_czech_german_predictions.csv,12,eng,2.262000000000006
0shot_czech_german_predictions.csv,13,eng,2.849899999999998
0shot_czech_german_predictions.csv,13,deu,1.1534000000000024
0shot_czech_german_predictions.csv,13,ces,0.9491999999999986
0shot_czech_german_predictions.csv,14,eng,0.8143999999999969
0shot_czech_german_predictions.csv,14,deu,2.636000000000014
0shot_czech_german_predictions.csv,14,ces,1.5897000000000046
0shot_czech_german_predictions.csv,15,deu,3.0555999999999948
0shot_czech_german_predictions.csv,15,eng,10.61770000000001
0shot_czech_german_predictions.csv,15,ces,0.29910000000000014
0shot_czech_german_predictions.csv,16,deu,12.977099999999972
0shot_czech_german_predictions.csv,16,eng,19.254899999999964
0shot_czech_german_predictions.csv,16,ces,3.956899999999996
0shot_czech_german_predictions.csv,17,eng,35.90700000000013
0shot_czech_german_predictions.csv,17,deu,16.114300000000046
0shot_czech_german_predictions.csv,17,ces,3.2757999999999985
0shot_czech_german_predictions.csv,18,eng,54.86180000000007
0shot_czech_german_predictions.csv,18,ces,3.026900000000001
0shot_czech_german_predictions.csv,18,deu,17.241700000000034
0shot_czech_german_predictions.csv,19,eng,258.6186000000002
0shot_czech_german_predictions.csv,19,deu,18.739700000000028
0shot_czech_german_predictions.csv,19,ces,1.6733000000000005
0shot_czech_german_predictions.csv,20,eng,346.21499999999975
0shot_czech_german_predictions.csv,20,deu,27.476100000000034
0shot_czech_german_predictions.csv,20,ces,3.2344
0shot_czech_german_predictions.csv,21,eng,501.81680000000114
0shot_czech_german_predictions.csv,21,deu,33.59389999999999
0shot_czech_german_predictions.csv,21,ces,4.766999999999998
0shot_czech_german_predictions.csv,22,eng,467.2822999999994
0shot_czech_german_predictions.csv,22,deu,83.61740000000002
0shot_czech_german_predictions.csv,22,ces,8.601599999999998
0shot_czech_german_predictions.csv,23,eng,350.3461999999999
0shot_czech_german_predictions.csv,23,deu,222.36019999999994
0shot_czech_german_predictions.csv,23,ces,15.791000000000002
0shot_czech_german_predictions.csv,24,deu,318.07120000000043
0shot_czech_german_predictions.csv,24,eng,286.39889999999923
0shot_czech_german_predictions.csv,24,ces,18.618199999999998
0shot_czech_german_predictions.csv,25,deu,384.41190000000086
0shot_czech_german_predictions.csv,25,ces,21.606700000000007
0shot_czech_german_predictions.csv,25,eng,227.88880000000017
0shot_czech_german_predictions.csv,26,deu,487.1936999999987
0shot_czech_german_predictions.csv,26,eng,127.64589999999994
0shot_czech_german_predictions.csv,26,ces,34.711099999999995
0shot_czech_german_predictions.csv,27,deu,718.5904999999958
