filepath,layer,language,frequency
1shot_german_english_predictions_with_adapter_with_adapter.csv,3,eng,6.982
1shot_german_english_predictions_with_adapter_with_adapter.csv,3,deu,0.0089
1shot_german_english_predictions_with_adapter_with_adapter.csv,4,deu,4.427199999999999
1shot_german_english_predictions_with_adapter_with_adapter.csv,4,eng,4.512600000000002
1shot_german_english_predictions_with_adapter_with_adapter.csv,5,deu,12.076899999999995
1shot_german_english_predictions_with_adapter_with_adapter.csv,5,eng,7.216099999999971
1shot_german_english_predictions_with_adapter_with_adapter.csv,6,deu,15.802000000000023
1shot_german_english_predictions_with_adapter_with_adapter.csv,6,eng,2.403000000000002
1shot_german_english_predictions_with_adapter_with_adapter.csv,7,deu,16.56000000000001
1shot_german_english_predictions_with_adapter_with_adapter.csv,7,eng,7.5742000000000065
1shot_german_english_predictions_with_adapter_with_adapter.csv,8,deu,12.905899999999983
1shot_german_english_predictions_with_adapter_with_adapter.csv,8,eng,5.912499999999989
1shot_german_english_predictions_with_adapter_with_adapter.csv,9,eng,7.608699999999992
1shot_german_english_predictions_with_adapter_with_adapter.csv,9,deu,1.1959
1shot_german_english_predictions_with_adapter_with_adapter.csv,10,eng,12.9374
1shot_german_english_predictions_with_adapter_with_adapter.csv,10,deu,2.0439999999999996
1shot_german_english_predictions_with_adapter_with_adapter.csv,11,eng,71.95160000000037
1shot_german_english_predictions_with_adapter_with_adapter.csv,11,deu,2.1682
1shot_german_english_predictions_with_adapter_with_adapter.csv,12,eng,297.39870000000025
1shot_german_english_predictions_with_adapter_with_adapter.csv,12,deu,6.056999999999999
1shot_german_english_predictions_with_adapter_with_adapter.csv,13,eng,440.888699999999
1shot_german_english_predictions_with_adapter_with_adapter.csv,13,deu,9.576599999999997
1shot_german_english_predictions_with_adapter_with_adapter.csv,14,eng,446.7122000000008
1shot_german_english_predictions_with_adapter_with_adapter.csv,14,deu,14.792100000000005
1shot_german_english_predictions_with_adapter_with_adapter.csv,15,eng,615.498899999999
1shot_german_english_predictions_with_adapter_with_adapter.csv,15,deu,42.30059999999999
1shot_german_english_predictions_with_adapter_with_adapter.csv,16,eng,528.7243999999982
1shot_german_english_predictions_with_adapter_with_adapter.csv,16,deu,60.228300000000075
1shot_german_english_predictions_with_adapter_with_adapter.csv,2,eng,0.0023
0shot_german_english_predictions_with_adapter_with_adapter.csv,4,deu,11.14000000000001
0shot_german_english_predictions_with_adapter_with_adapter.csv,4,eng,0.9231999999999998
0shot_german_english_predictions_with_adapter_with_adapter.csv,6,deu,17.521699999999942
0shot_german_english_predictions_with_adapter_with_adapter.csv,6,eng,1.3945999999999998
0shot_german_english_predictions_with_adapter_with_adapter.csv,7,eng,24.757499999999986
0shot_german_english_predictions_with_adapter_with_adapter.csv,7,deu,8.016900000000003
0shot_german_english_predictions_with_adapter_with_adapter.csv,8,eng,1.551600000000001
0shot_german_english_predictions_with_adapter_with_adapter.csv,8,deu,7.186999999999993
0shot_german_english_predictions_with_adapter_with_adapter.csv,9,deu,2.4257000000000004
0shot_german_english_predictions_with_adapter_with_adapter.csv,9,eng,3.6439
0shot_german_english_predictions_with_adapter_with_adapter.csv,10,deu,10.978699999999987
0shot_german_english_predictions_with_adapter_with_adapter.csv,10,eng,2.5762999999999976
0shot_german_english_predictions_with_adapter_with_adapter.csv,11,deu,3.265699999999997
0shot_german_english_predictions_with_adapter_with_adapter.csv,11,eng,36.16130000000005
0shot_german_english_predictions_with_adapter_with_adapter.csv,12,eng,225.3062999999998
0shot_german_english_predictions_with_adapter_with_adapter.csv,12,deu,4.7581
0shot_german_english_predictions_with_adapter_with_adapter.csv,13,eng,372.85200000000054
0shot_german_english_predictions_with_adapter_with_adapter.csv,13,deu,9.9698
0shot_german_english_predictions_with_adapter_with_adapter.csv,14,eng,334.4777000000008
0shot_german_english_predictions_with_adapter_with_adapter.csv,14,deu,65.66159999999999
0shot_german_english_predictions_with_adapter_with_adapter.csv,15,deu,163.03550000000033
0shot_german_english_predictions_with_adapter_with_adapter.csv,15,eng,478.98149999999976
0shot_german_english_predictions_with_adapter_with_adapter.csv,16,eng,380.0798000000008
0shot_german_english_predictions_with_adapter_with_adapter.csv,16,deu,191.75399999999993
0shot_german_english_predictions_with_adapter_with_adapter.csv,5,deu,0.5503
0shot_german_english_predictions_with_adapter_with_adapter.csv,5,eng,2.3549999999999973
0shot_german_english_predictions_with_adapter_with_adapter.csv,3,eng,0.9666999999999996
0shot_german_english_predictions_with_adapter_with_adapter.csv,3,deu,0.0228
0shot_german_english_predictions_with_adapter_with_adapter.csv,2,eng,0.0097
5shot_german_english_predictions_with_adapter_with_adapter.csv,3,eng,14.483999999999995
5shot_german_english_predictions_with_adapter_with_adapter.csv,3,deu,0.0075
5shot_german_english_predictions_with_adapter_with_adapter.csv,4,eng,7.904800000000001
5shot_german_english_predictions_with_adapter_with_adapter.csv,4,deu,1.6258999999999988
5shot_german_english_predictions_with_adapter_with_adapter.csv,5,deu,10.061
5shot_german_english_predictions_with_adapter_with_adapter.csv,5,eng,2.4914000000000036
5shot_german_english_predictions_with_adapter_with_adapter.csv,6,deu,6.313400000000001
5shot_german_english_predictions_with_adapter_with_adapter.csv,6,eng,0.3599000000000003
5shot_german_english_predictions_with_adapter_with_adapter.csv,7,deu,14.0925
5shot_german_english_predictions_with_adapter_with_adapter.csv,7,eng,11.041399999999994
5shot_german_english_predictions_with_adapter_with_adapter.csv,8,eng,24.982600000000005
5shot_german_english_predictions_with_adapter_with_adapter.csv,8,deu,16.95109999999998
5shot_german_english_predictions_with_adapter_with_adapter.csv,9,deu,6.009500000000001
5shot_german_english_predictions_with_adapter_with_adapter.csv,9,eng,13.104899999999976
5shot_german_english_predictions_with_adapter_with_adapter.csv,10,eng,17.88010000000001
5shot_german_english_predictions_with_adapter_with_adapter.csv,10,deu,1.8773999999999986
5shot_german_english_predictions_with_adapter_with_adapter.csv,11,eng,89.11160000000031
5shot_german_english_predictions_with_adapter_with_adapter.csv,11,deu,2.8481000000000005
5shot_german_english_predictions_with_adapter_with_adapter.csv,12,eng,344.4655999999996
5shot_german_english_predictions_with_adapter_with_adapter.csv,12,deu,6.9329
5shot_german_english_predictions_with_adapter_with_adapter.csv,13,eng,479.7585999999998
5shot_german_english_predictions_with_adapter_with_adapter.csv,13,deu,9.846800000000012
5shot_german_english_predictions_with_adapter_with_adapter.csv,14,eng,515.9058000000012
5shot_german_english_predictions_with_adapter_with_adapter.csv,14,deu,13.792699999999998
5shot_german_english_predictions_with_adapter_with_adapter.csv,15,eng,681.635299999998
5shot_german_english_predictions_with_adapter_with_adapter.csv,15,deu,38.01470000000001
5shot_german_english_predictions_with_adapter_with_adapter.csv,16,eng,579.6834999999992
5shot_german_english_predictions_with_adapter_with_adapter.csv,16,deu,62.17029999999998
10shot_german_english_predictions_with_adapter_with_adapter.csv,3,eng,15.941299999999991
10shot_german_english_predictions_with_adapter_with_adapter.csv,3,deu,0.0059
10shot_german_english_predictions_with_adapter_with_adapter.csv,4,eng,6.999900000000004
10shot_german_english_predictions_with_adapter_with_adapter.csv,4,deu,1.0071000000000003
10shot_german_english_predictions_with_adapter_with_adapter.csv,5,deu,8.938699999999997
10shot_german_english_predictions_with_adapter_with_adapter.csv,5,eng,1.5543000000000018
10shot_german_english_predictions_with_adapter_with_adapter.csv,7,deu,9.697100000000002
10shot_german_english_predictions_with_adapter_with_adapter.csv,7,eng,11.213699999999996
10shot_german_english_predictions_with_adapter_with_adapter.csv,8,deu,25.468799999999984
10shot_german_english_predictions_with_adapter_with_adapter.csv,8,eng,30.59319999999998
10shot_german_english_predictions_with_adapter_with_adapter.csv,10,eng,18.603900000000007
10shot_german_english_predictions_with_adapter_with_adapter.csv,10,deu,2.0241999999999996
10shot_german_english_predictions_with_adapter_with_adapter.csv,11,eng,94.75620000000012
10shot_german_english_predictions_with_adapter_with_adapter.csv,11,deu,2.8638
10shot_german_english_predictions_with_adapter_with_adapter.csv,12,eng,341.4336999999993
10shot_german_english_predictions_with_adapter_with_adapter.csv,12,deu,6.102200000000005
10shot_german_english_predictions_with_adapter_with_adapter.csv,13,eng,474.99049999999863
10shot_german_english_predictions_with_adapter_with_adapter.csv,13,deu,10.915299999999997
10shot_german_english_predictions_with_adapter_with_adapter.csv,14,eng,515.3032000000003
10shot_german_english_predictions_with_adapter_with_adapter.csv,14,deu,13.827200000000005
10shot_german_english_predictions_with_adapter_with_adapter.csv,15,eng,690.996599999998
10shot_german_english_predictions_with_adapter_with_adapter.csv,15,deu,36.32739999999998
10shot_german_english_predictions_with_adapter_with_adapter.csv,16,eng,598.2874000000005
10shot_german_english_predictions_with_adapter_with_adapter.csv,16,deu,59.15259999999994
10shot_german_english_predictions_with_adapter_with_adapter.csv,9,eng,15.500400000000006
10shot_german_english_predictions_with_adapter_with_adapter.csv,9,deu,8.760700000000009
10shot_german_english_predictions_with_adapter_with_adapter.csv,6,eng,0.6636999999999996
10shot_german_english_predictions_with_adapter_with_adapter.csv,6,deu,2.8679999999999928
1shot_english_german_predictions_with_adapter_with_adapter.csv,3,eng,8.3608
1shot_english_german_predictions_with_adapter_with_adapter.csv,3,deu,0.1534
1shot_english_german_predictions_with_adapter_with_adapter.csv,4,deu,3.873700000000003
1shot_english_german_predictions_with_adapter_with_adapter.csv,4,eng,0.3592
1shot_english_german_predictions_with_adapter_with_adapter.csv,6,deu,23.564299999999957
1shot_english_german_predictions_with_adapter_with_adapter.csv,6,eng,2.9932999999999983
1shot_english_german_predictions_with_adapter_with_adapter.csv,7,deu,31.429400000000058
1shot_english_german_predictions_with_adapter_with_adapter.csv,7,eng,4.648799999999999
1shot_english_german_predictions_with_adapter_with_adapter.csv,8,deu,31.14209999999998
1shot_english_german_predictions_with_adapter_with_adapter.csv,8,eng,1.0005000000000004
1shot_english_german_predictions_with_adapter_with_adapter.csv,9,deu,9.005699999999978
1shot_english_german_predictions_with_adapter_with_adapter.csv,9,eng,0.9454999999999999
1shot_english_german_predictions_with_adapter_with_adapter.csv,10,deu,16.141499999999986
1shot_english_german_predictions_with_adapter_with_adapter.csv,10,eng,7.6854000000000005
1shot_english_german_predictions_with_adapter_with_adapter.csv,11,deu,9.179900000000012
1shot_english_german_predictions_with_adapter_with_adapter.csv,11,eng,48.236799999999945
1shot_english_german_predictions_with_adapter_with_adapter.csv,12,eng,232.6962000000003
1shot_english_german_predictions_with_adapter_with_adapter.csv,12,deu,73.0333000000001
1shot_english_german_predictions_with_adapter_with_adapter.csv,13,eng,284.8869000000001
1shot_english_german_predictions_with_adapter_with_adapter.csv,13,deu,130.79920000000004
1shot_english_german_predictions_with_adapter_with_adapter.csv,14,deu,475.6352000000025
1shot_english_german_predictions_with_adapter_with_adapter.csv,14,eng,84.23649999999984
1shot_english_german_predictions_with_adapter_with_adapter.csv,15,deu,576.9890999999976
1shot_english_german_predictions_with_adapter_with_adapter.csv,15,eng,45.960000000000036
1shot_english_german_predictions_with_adapter_with_adapter.csv,16,deu,444.36649999999827
1shot_english_german_predictions_with_adapter_with_adapter.csv,16,eng,52.82819999999998
1shot_english_german_predictions_with_adapter_with_adapter.csv,5,eng,4.939899999999996
1shot_english_german_predictions_with_adapter_with_adapter.csv,5,deu,0.3736000000000001
0shot_english_german_predictions_with_adapter_with_adapter.csv,3,eng,8.85219999999999
0shot_english_german_predictions_with_adapter_with_adapter.csv,3,deu,0.0126
0shot_english_german_predictions_with_adapter_with_adapter.csv,4,deu,6.835699999999993
0shot_english_german_predictions_with_adapter_with_adapter.csv,4,eng,0.6536999999999996
0shot_english_german_predictions_with_adapter_with_adapter.csv,5,eng,2.207
0shot_english_german_predictions_with_adapter_with_adapter.csv,5,deu,2.6277
0shot_english_german_predictions_with_adapter_with_adapter.csv,6,deu,10.250800000000002
0shot_english_german_predictions_with_adapter_with_adapter.csv,6,eng,6.713399999999994
0shot_english_german_predictions_with_adapter_with_adapter.csv,7,deu,14.675400000000007
0shot_english_german_predictions_with_adapter_with_adapter.csv,7,eng,23.242500000000007
0shot_english_german_predictions_with_adapter_with_adapter.csv,8,deu,17.491899999999973
0shot_english_german_predictions_with_adapter_with_adapter.csv,8,eng,6.516499999999992
0shot_english_german_predictions_with_adapter_with_adapter.csv,9,deu,7.571199999999984
0shot_english_german_predictions_with_adapter_with_adapter.csv,9,eng,2.9904000000000037
0shot_english_german_predictions_with_adapter_with_adapter.csv,10,deu,35.116500000000045
0shot_english_german_predictions_with_adapter_with_adapter.csv,10,eng,3.8800000000000017
0shot_english_german_predictions_with_adapter_with_adapter.csv,11,deu,12.12910000000001
0shot_english_german_predictions_with_adapter_with_adapter.csv,11,eng,76.65009999999991
0shot_english_german_predictions_with_adapter_with_adapter.csv,12,eng,333.8170999999998
0shot_english_german_predictions_with_adapter_with_adapter.csv,12,deu,66.04680000000008
0shot_english_german_predictions_with_adapter_with_adapter.csv,13,eng,358.4224000000005
0shot_english_german_predictions_with_adapter_with_adapter.csv,13,deu,113.77240000000005
0shot_english_german_predictions_with_adapter_with_adapter.csv,14,deu,432.627199999998
0shot_english_german_predictions_with_adapter_with_adapter.csv,14,eng,142.45800000000003
0shot_english_german_predictions_with_adapter_with_adapter.csv,15,deu,553.1672999999996
0shot_english_german_predictions_with_adapter_with_adapter.csv,15,eng,106.60619999999997
0shot_english_german_predictions_with_adapter_with_adapter.csv,16,deu,402.3204000000011
0shot_english_german_predictions_with_adapter_with_adapter.csv,16,eng,73.6451000000001
10shot_english_german_predictions_with_adapter_with_adapter.csv,3,eng,5.853199999999999
10shot_english_german_predictions_with_adapter_with_adapter.csv,3,deu,0.2564
10shot_english_german_predictions_with_adapter_with_adapter.csv,4,eng,0.6971
10shot_english_german_predictions_with_adapter_with_adapter.csv,4,deu,5.737999999999997
10shot_english_german_predictions_with_adapter_with_adapter.csv,5,eng,1.9841000000000002
10shot_english_german_predictions_with_adapter_with_adapter.csv,5,deu,0.8135
10shot_english_german_predictions_with_adapter_with_adapter.csv,6,deu,10.992600000000007
