filepath,layer,language,frequency
llama3b_0shot_english_german_predictions.csv,2,deu,1.4889000000000066
llama3b_0shot_english_german_predictions.csv,2,eng,0.0092
llama3b_0shot_english_german_predictions.csv,4,deu,14.5265
llama3b_0shot_english_german_predictions.csv,4,eng,0.1084
llama3b_0shot_english_german_predictions.csv,5,deu,60.07470000000008
llama3b_0shot_english_german_predictions.csv,5,eng,0.0754
llama3b_0shot_english_german_predictions.csv,6,deu,10.190199999999974
llama3b_0shot_english_german_predictions.csv,6,eng,0.44740000000000024
llama3b_0shot_english_german_predictions.csv,7,eng,4.520899999999983
llama3b_0shot_english_german_predictions.csv,7,deu,4.6728999999999745
llama3b_0shot_english_german_predictions.csv,8,deu,10.749099999999938
llama3b_0shot_english_german_predictions.csv,8,eng,4.716899999999982
llama3b_0shot_english_german_predictions.csv,9,eng,0.8580999999999994
llama3b_0shot_english_german_predictions.csv,9,deu,5.669399999999985
llama3b_0shot_english_german_predictions.csv,10,deu,5.892799999999996
llama3b_0shot_english_german_predictions.csv,10,eng,0.6705000000000007
llama3b_0shot_english_german_predictions.csv,11,deu,2.138300000000004
llama3b_0shot_english_german_predictions.csv,11,eng,1.0359000000000003
llama3b_0shot_english_german_predictions.csv,12,deu,1.2940000000000056
llama3b_0shot_english_german_predictions.csv,12,eng,0.6521999999999986
llama3b_0shot_english_german_predictions.csv,13,eng,5.639399999999996
llama3b_0shot_english_german_predictions.csv,13,deu,1.6610000000000062
llama3b_0shot_english_german_predictions.csv,14,deu,3.378399999999995
llama3b_0shot_english_german_predictions.csv,14,eng,1.7042000000000108
llama3b_0shot_english_german_predictions.csv,15,eng,13.179299999999984
llama3b_0shot_english_german_predictions.csv,15,deu,4.348799999999987
llama3b_0shot_english_german_predictions.csv,16,eng,27.324799999999936
llama3b_0shot_english_german_predictions.csv,16,deu,6.660700000000007
llama3b_0shot_english_german_predictions.csv,17,eng,45.053400000000046
llama3b_0shot_english_german_predictions.csv,17,deu,8.63069999999998
llama3b_0shot_english_german_predictions.csv,18,eng,73.97819999999999
llama3b_0shot_english_german_predictions.csv,18,deu,11.070899999999995
llama3b_0shot_english_german_predictions.csv,19,eng,347.7247000000005
llama3b_0shot_english_german_predictions.csv,19,deu,25.252099999999974
llama3b_0shot_english_german_predictions.csv,20,eng,432.9751999999998
llama3b_0shot_english_german_predictions.csv,20,deu,28.774799999999935
llama3b_0shot_english_german_predictions.csv,21,eng,558.1292
llama3b_0shot_english_german_predictions.csv,21,deu,35.6298
llama3b_0shot_english_german_predictions.csv,22,eng,539.1172
llama3b_0shot_english_german_predictions.csv,22,deu,91.77510000000032
llama3b_0shot_english_german_predictions.csv,23,eng,438.08390000000077
llama3b_0shot_english_german_predictions.csv,23,deu,215.06790000000018
llama3b_0shot_english_german_predictions.csv,24,eng,365.8093999999991
llama3b_0shot_english_german_predictions.csv,24,deu,323.19790000000035
llama3b_0shot_english_german_predictions.csv,25,eng,302.63869999999906
llama3b_0shot_english_german_predictions.csv,25,deu,393.38640000000083
llama3b_0shot_english_german_predictions.csv,26,eng,185.64389999999975
llama3b_0shot_english_german_predictions.csv,26,deu,450.4694000000005
llama3b_0shot_english_german_predictions.csv,27,deu,660.3109000000003
llama3b_0shot_english_german_predictions.csv,27,eng,92.39250000000003
llama3b_0shot_english_german_predictions.csv,28,deu,410.65079999999983
llama3b_0shot_english_german_predictions.csv,28,eng,87.70379999999983
llama3b_0shot_english_german_predictions.csv,3,deu,2.1056000000000026
llama3b_0shot_english_german_predictions.csv,3,eng,0.1033
llama3b_0shot_english_german_predictions.csv,1,eng,0.0
llama3b_5shot_english_german_predictions.csv,2,deu,1.727400000000018
llama3b_5shot_english_german_predictions.csv,2,eng,0.35100000000000015
llama3b_5shot_english_german_predictions.csv,3,deu,3.388399999999989
llama3b_5shot_english_german_predictions.csv,3,eng,0.3018
llama3b_5shot_english_german_predictions.csv,4,deu,10.38599999999998
llama3b_5shot_english_german_predictions.csv,4,eng,0.34709999999999996
llama3b_5shot_english_german_predictions.csv,5,deu,7.190399999999984
llama3b_5shot_english_german_predictions.csv,5,eng,0.38120000000000037
llama3b_5shot_english_german_predictions.csv,6,deu,11.739999999999979
